Award_InvolvedPerson;Award_Title;Award_Year;AwardId;GrantNumber
Froidevaux, Ariane;Prix de Faculté pour l'excellence de la thèse de doctorat decerné par l'Université de Lausanne.;2017;E3A1E4B8-393F-4ECE-8D46-07873A1B852D;168394
Sailer, Clara Odilia;Outstanding Abstract Award ENDO 2021 - Relationship between oxytocin levels and brain volume in anorexia nervosa compared to healthy controls;2021;082B3145-42B0-43DA-B2B0-2BFF99220C8D;195645
López Jiménez, Ana Teresa;Marie Skolodowska Curie Fellow, European Comission;2020;150F5560-70A3-496D-9F98-56C2A8BF88A0;188277
Streit, Sven;Award of the Society of General Internal Medicine (SGIM) Foundation;2017;EEC0D546-AC70-49C8-B38A-D2E25AFD6252;165353
Chawla, Raghav;"Alberta Corkery travel award, Seattle Children’s Hospital ";2017;EBEF1FAF-1F43-4EE0-AE54-A6C01AE7EDE5;168764
Shafieezadeh Abadeh, Soroosh;"INFORMS Optimization Society Student Paper Prize

Link: https://connect.informs.org/optimizationsociety/prizes/students-prize/2022";2022;32154275-BA46-4DDF-A912-A344ADF33DB6;195149
Lundeen, Rachel Anna;American Chemical Society Editors' Choice Featured Article;2016;DA20E941-A19B-4E8C-A1FB-98C1AB8022F3;155522
Martí i Líndez, Adrià-Arnau;Fellowship Abroad Grants (B);2023;40089BF1-9696-4F30-8A07-7ABA81052D68;200138
Cepellotti, Andrea;Nicholas Metropolis Award for Outstanding Doctoral Thesis Work in Computational Physics;2018;34E3FDE7-0245-450F-812E-1594B4B28DCF;168546
Asgari, Mehrdad;Postdoctoral Fellowships - Marie Skłodowska-Curie Actions;2023;6FB99FDA-75BF-44DC-9191-B0C8EC771B84;195134
Juan, Elsa;Amicitia Excellence Prize;2017;AA7EC190-1973-4021-B3A4-7A9B32EFEADA;168437
Mirzasoleimanbarzi, Baharan;MIT Rising Stars in EECS;2018;EFEFF405-0822-4969-A585-BA52899D858F;172187
Greuter, Thomas;Best Poster Award, Swiss Society of Gastroenterology Annual Congress;2018;AE33ED06-F8E7-4975-8ABC-DE2B4E672A5D;168561
Greuter, Thomas;Certificate of Recognition for Scientific Accomplishment as an Early Stage Investigator (DDW 2018, Washington D.C.);2018;78A0917D-A64D-4173-A589-1C5A4798B56C;168561
Greuter, Thomas;"Training Award of the Consortium of Eosinophilic Gastrointestinal Disease Researchers (CEGIR, National Institute of Health NIH grant U54 AI117804; USD 25`000)";2018;071F190A-1259-48F8-B0F5-84819608893B;168561
Rüfenacht, Rolf;"""Intercomparison of middle-atmospheric wind in observations and models"" selected as highlight article of the journal ""Atmospheric measurement techniques"" and the Copernicus publications";2018;340FBFAB-2683-4E04-AA2C-6754F1E1981A;165383
Marchioro, Arianna;Best Poster Award at the FQDots15 Conference (Santiago de Compostela, Spain, September 6-8, 2015);2015;7FDBAFEF-A692-4740-BA24-461BEF344277;155305
Daetwyler, Stephan;Honorable Mention, Nikon Small World in Motion competition;2020;54CE041C-2466-41A6-9280-C707A3280901;191347
Mader, Luzius;Young investigator award by International Society of Paediatric Oncology;2019;3ECE5697-1730-404A-B1E7-ADA9C0DB9614;175288
Varholick, Justin;Mentoring Award, Undergraduate Research Scholars Program University of Florida;2020;6FB2BEB6-1C85-492B-8EDA-CEC2D1A1CA4D;181707
Arafat, Rana;"Top Faculty Paper (Second Place). Presented by Newspaper and Online News Division (NOND), Association for Education in Journalism and Mass Communication (AEJMC)
o	Paper: Rethinking Hybridity in Diaspora Journalism: A Study of Exiled Syrian Journalists' Advocacy Networks and Role Perceptions
";2021;9B91EF2A-599C-46CA-9A6E-155DDC87C56D;195295
Arafat, Rana;The 2022 Wolfgang Donsbach Outstanding Journal Article of the Year Award. Presented by the Journalism Studies Division, the International Communication Association (ICA) in Paris, France;2022;9A8B8173-25A4-4DD8-B11C-1F2570C7ED1D;195295
Gordic, Sonja;"SAR Travel Scholarship
";2017;B2B36400-9D0F-44D9-A86D-A330D232ED6D;161691
Gordic, Sonja;"‘ESGAR Top 20’ Award 
";2017;3D22FD7D-6D5E-43B7-84C1-0E00370EDF93;161691
Calvo, Irene;EMBO poster award - ThymE Meeting , Rehovot, Israel;2019;500CAD7C-8745-4E0E-83FE-7CA11956B72B;171050
"Raubal, Martin; Rudel, Roman";"The GoEco! App obtained the first prize at the 2014 AppWelt contest by EnergySwiss:
http://www.energieschweiz.ch/appwelt";2015;5797DA42-8E74-4F2D-98C4-AA1E1546189B;153743
Luomajoki, Hannu Antero;Professor ZFH;2011;42B77EE2-B4D3-4834-A297-A16CF2AB5F42;127240
Ehrensberger-Dow, Maureen;CLS prize for best MA thesis (Annina Meyer);2013;84013BCA-1A41-4361-9A28-8676300D9EF5;124653
Pilloud, Séverine;"Prix Leenaards Âge et Société pour un projet de recherche 
Séverine Pilloud: requérante principale
Delphine Roulet Schwab: co-requérante ";2015;E7A5C361-E52B-4F29-8C0F-54F0C9AB2B06;134827
Tröndle, Martin;Preis für die beste wissenschaftliche Online-Publikation SURFfoundation, Niederlande;2011;453D6D9B-FBE4-40AA-B3D6-AAC621BC9E63;120799
Birr, Lorraine;Förderbeitrag für die Abschlussfinanzierung der Promotion durch die Pädagogische Hochschule FHNW;2015;F9AC436F-69E3-4B78-AB0A-678D8C064BAE;134855
Gredig, Daniel;"Best Prize Poster Presentation Clinical Research 2014. Schweizerische Gesellschaft für Endokrinologie und Diabetologie. 
Poster: Bartelsen-Raemy, Annabelle/Gredig, Daniel: Experiences of Stigma in People living with Diabetes Mellitus in Switzerland. Poster 27. Annual Meeting of the Swiss Society of Endocrinology and Diabetes. Berne. 28.11.2014.
";2014;4565A90B-4834-4C5E-80B7-CF76830CC8CA;132288
Sagelsdorff, Rebekka;Förderbeitrag für die Abschlussfinanzierung der Promotion aus dem Forschungsfonds 2014 der Universität Basel;2014;D879AEF5-432B-48DD-8F2F-4387382E142C;134855
"Keel, Sara; Schoeb, Veronika";"Runner-up (2nd prize) ""Medical Humanities"" of the Swiss Academy of Medical Sciences for the publication:

Schoeb, V., Hartmeier, A. & Keel S. (forthcoming) Transfer von Forschungsresultaten zur Austrittsplanung in drei Schweizer Rehabilitationskliniken: Reflektion als Sprungbrett für Veränderungen im Praxisalltag. ";2014;2BDBA64F-F587-484F-8B28-C8BEE832D640;134835
Page, Julie;Professorin ZFH für Evaluation und Assessments in der Ergotherapie;2011;291B863E-7827-4402-BA80-0D97BA86116A;127161
"Ancey, Céline; Duc, Cyntia; Jaccard, Hervé; Pichonnaz, Claude";2nd best poster;2013;FEEA6A83-A433-4896-A91D-D66422E40706;135061
Nadot, Michel;"Nom du chercheur attribué à une promotion d'étudiantes (2019-2022) en reconnaissance de ses travaux et publications utilisées dans le projet pédagogique de l'institut de formation en soins infirmiers du pays d'Erstein, 2 rue de la Laine Peignée, 67150 Erstein, France. ";2019;BF7F8BB5-E764-4299-990E-79785BA07906;65917
"Ineichen, Gabriela; Isler, Dieter";"Best paper award für den Einzelbeitrag «Alltagsgespräche im Kindergarten. Gelegenheitsstrukturen für den Erwerb bildungssprachlicher Fähigkeiten»

Schweizerische Gesellschaft für Bildungsforschung
Jahreskongress 2013";2013;E0800270-2DD5-4CA6-86D1-5602D9523C24;136610
Kool, Jan;Professor ZFH;2011;45138777-D1F8-41D3-BAEF-724154CA1CB7;127240
"Lindauer, Thomas; Schneider, Hansjakob";CSF (Centro Stefano Franscini) Award für die beste wissenschaftliche Präsentation;2011;857BC9CE-78E4-490E-99D9-05B736C91B9F;126992
"Bischofberger, Iren; Radvansky, Andrea; van Holten, Karin";Förderpreis Forum Managed Care;2012;9E25479F-AFE5-4C05-AF2C-668C51063A46;129991
Anchisi, Annick;"Patients traités par chimiothérapie : apports d'une approche interdisciplinaire : 1er prix des Académies suisses des sciences médicales (Medical Humanities) ";2015;0836EF7B-7AB4-4AF7-994A-D1D5E5348CFD;124531
Skuza, Krzysztof;doctorat es sciences sociales et politiques;2013;C04D0747-BD96-4AEB-92A8-DC0A96190591;134989
Luder, Gere;"Gere Luder:
Forschungspreis 2012 der Reha-Klinik Rheinfelden

http://de.slideshare.net/presseportalCH/reha-rheinfelden-vergibt-ersten-forschungspreis-bild
";2012;F90D3713-89BE-48DF-BE89-973A218A94F0;127285
Guha, Anirvan;Vigener Prize for the best Ph.D. thesis at the University of Fribourg;2020;485FEC42-48BF-4D9D-ADA6-CB8FEB0BCF33;177995
