DataSet_Abstract;DataSet_Author;DataSet_PersistentIdentifier_PID;DataSet_PublicationDate;DataSet_RepositoryLink;DataSet_RepositoryName;DataSet_Title;DataSetId;GrantNumber
"";Lin, Bin;10.5281/zenodo.5106305;;https://zenodo.org/record/5552880#.Y7LUyS-B2Uo;Zenodo;"Replication Package for ""Opinion Mining for Software Development: A Systematic Literature Review""";417F5800-F56C-4208-9939-2E5D377CE301;183587
"";Traini, Luca;10.5281/zenodo.5869718;;https://zenodo.org/record/5869718#.YeazkS1h1n4;Zenodo;Replication Package: How Software Refactoring Impacts Execution Time;63DC0D00-E253-4A75-9EBE-AC0A0469F191;183587
"";Izumi, Ohigashi;DRA008167 and DRA008878;;https://www.ddbj.nig.ac.jp;"DNA Data Bank of Japan ";Thymoproteasome RNA sequencing data;A8F91F18-78BD-4DFA-8D34-72901D8F6BB3;171050
"";Calvo, Irene;E-MTAB-8737;;https://www.ebi.ac.uk/arrayexpress/;Arrayexpress;Lineage tracing single cell RNA sequencing;1525E899-1390-44F2-A4DD-C50D6D7E462A;171050
"";Lin, Bin;10.5281/zenodo.5870012;;https://zenodo.org/record/5870012#.Yea0QC1h1n4;Zenodo;Replication Package: Does Refactoring Break Tests and to What Extent?;5BCDD142-1369-415D-AE14-80A18B13B676;183587
This deposit contains the dataset for the 'Stretchable Electrohydrodynamics' project funded by the Swiss National Science Foundation (FNS project IZLJZ2_183656);Smith, Michael;DOI: 10.5281/zenodo.7635475;2023-02-13T00:00:00Z;https://doi.org/10.5281/zenodo.7635475;ZENODO;Dataset for FNS project 'Stretchable Electrohydrodynamics';66B657F8-41CD-4141-B4DC-D830B12EE703;183656
"";Teh, Hongying;GSE114713;;https://www.ncbi.nlm.nih.gov/geo/;Gene Expression Omnibus;EED chip sequencing;477D0574-C71C-49CE-B9E4-F290084E2490;171050
"";Lin, Bin;10.5281/zenodo.5869957;;https://zenodo.org/record/5869957#.Yea1QC1h1n4;Zenodo;PyRef: Automatically detecting method-level refactoring operations in Python projects;A04AA468-886C-4856-95BB-EF4D6E67544C;183587
"";Lin, Bin;10.5281/zenodo.5870194;;https://zenodo.org/record/5870194#.Yeaz_S1h1n4;Zenodo;Replication Package: Automated Identification of On-hold Self-admitted Technical Debt;4B717393-209C-401C-951F-F5A02DF58CF2;183587
"";Lin, Bin;10.5281/zenodo.5870074;;https://zenodo.org/record/5870074#.Yea0hy1h1n4;Zenodo;Replication Package: Why Do Developers Reject Refactorings?;A74E4067-7A74-4170-8253-F583102381AA;183587
"";Izumi, Ohigashi;PXD013132 and PXD013133;;https://repository.jpostdb.org;ProteomeXchange Consortium;Thymoproteasome MS proteomics data;F01745BB-4090-41FB-830D-9E3D16F7FDEF;171050
"";Teh, Hongying;GSE112050;;https://www.ncbi.nlm.nih.gov/geo/;Gene Expression Omnibus;EED knockout RNA sequencing dataset;8484F0CA-92D7-4072-8858-596412B68E41;171050
"Two (sub-)datasets:1.) Households - LightingHeidari, Mahbod; Yilmaz, Selin; Patel, Martin K.;LIGHTING * When using the data please refer to: Heidari, M.; van der Lans, N.; Floret, I.; Patel, M.K.: Analysis of the Energy Efficiency Potential of Household Lighting in Switzerland Using a Stock Model. Energy and Buildings158 (2018), pp. 536-548, Special Issue ""Energy Efficient LightUploaded on October 24, 2018https://zenodo.org/record/1470288#.YTWX9VUzYV0 2.) Households - White goodsYilmaz; Patel;An example implementation of the model, in the form of a Matlab code, has been made available for free download. It contains algorithms of the life-span distribution for appliances, forecasting of the stock and the corresponding electricity demand. The source code is open and may be readily adaptedUploaded on July 17, 2018https://zenodo.org/record/1313848#.YTWYHlUzYV0";Patel, Martin K.;https://doi.org/10.5281/zenodo.1313848;2018-10-23T00:00:00Z;https://doi.org/10.5281/zenodo.1313848;see below under Description/abstract for details;Energy Efficiency at University of Geneva;14706DDF-A335-4F33-BDA9-9F7AD1D22DA4;153711
Abstract Primary cilia are organelles necessary for proper implementation of developmental and homeostasis processes. To initiate their assembly, coordinated actions of multiple proteins are needed. Tau tubulin kinase 2 (TTBK2) is a key player in the cilium assembly pathway, controlling final step of cilia initiation. The function of TTBK2 in ciliogenesisis critically dependent on its kinase activity, however, precise mechanism of action of this kinase is so far incompletely understood, in part due to very limited information about its relevant substrates. In this study we identify CEP83, CEP89, CCDC92, Rabin8 and DVL3 as substrates of TTBK2 kinase activity. Further, we characterise a set of phosphosites of the newly identified substrates and CEP164, induced by TTBK2 in vitro and in vivo and show that TTBK2 preferentially phosphorylates examined substrates at intrinsically disordered regions (IDRs). Intriguingly, we further show that identified TTBK2 phosphosites and consensus sequence delineated from those are distinct from motifs previously assigned to TTBK2. Finally, we address functional relevance of selected phosphorylations of CEP164 and provide evidence that the examined TTBK2-induced phosphorylations of CEP164 are relevant for the process of cilia formation. In summary, our work provides important insight into substrates-TTBK2 kinase relationship and suggests that multiple phosphorylation of IDRs is probably involved in the control of ciliogenesis in human cells.;Bernatik, Ondrej;PXD014199;2020-03-25T00:00:00Z;https://www.ebi.ac.uk/pride/archive/projects/PXD014199;PRIDE (Proteomics identifications database);Phosphorylation of multiple proteins involved in ciliogenesis by Tau Tubulin kinase 2;30D16BA8-6443-4445-B496-883AF6C256C4;166533
In Switzerland, the KESB authorities decide about welfare service delivery as well as about the taking of coercive measures. The authorities were created in 2013, following a change to the Swiss Civil Code (ZGB) adopted by the Swiss Parliament. Whereas most of the French-speaking cantons were able to continue working within the existing system, the changes to the Civil Code led to organizational changes in the German-speaking cantons and the Ticino.Our analysis will begin in the 1990s, when the first meetings on the reform of the guardianship system, as child and adult protection services were referred to back then, took place. We will then track the reform on the national level as well as its implementation on the cantonal level at the turn of the millennium. This will be followed by an analysis of the debate in the media and its implications for today.;"Kuenzler, Johanna; Stauffer, Bettina";https://doi.org/10.23662/FORS-DS-1271-1;;https://www.swissubase.ch/en/catalogue/studies/14075/17080/datasets/1271/2064/overview;SwissUBase;Narratives from the Discourse on the Swiss Child and Adult Protection Policy (CAPP) between 2013 and 2016 [Dataset];1DFB0419-911D-4D0A-B0B6-01F1E6A5220B;177405
"Zweite Erhebung im Rahmen des Projektes. Kombination aus Panel-Studie (drei Wellen) sowie zusätzlichen Cross-Sections bei T2 und T3. Inklusive Conjoint-Modul zu Energiepolitiken und weiteren Experimenten zur Meinungsbildung in der Energiepolitik.Erste Welle: Panelstudie W1 inkl. Conjoint-Modul.Zweite Welle: Panelstudie W2 inkl. Informations-Experiment (Bundesbüchlein vs. easyvote); Cross-Section W2 inkl. Conjoint-Modul.Dritte Welle: Panelstudie W3 inkl. VAA-Experiment; Cross-Section W3 inkl. Conjoint-Modul.";"Dermont, Clau; Stadelmann-Steffen, Isabelle; Zumofen, Guillaume";Not yet;2019-12-31T00:00:00Z;https://forsbase.unil.ch/;FORSbase;Energie Enquete 2017;49FC8903-01BF-42BA-ACFE-812EE9E548B6;153727
Erste Erhebung im Rahmen des Projektes mit 8287 befragten Personen zur Energiepolitik. Inklusive Conjoint-Module zu Energiepolitiken und zu lokalen Projekten.;"Dermont, Clau; Stadelmann-Steffen, Isabelle";Not yet;2019-02-01T00:00:00Z;https://forsbase.unil.ch/;FORSbase;Energie Enquete 2016;D5CB603D-1C40-4654-91F4-741BC30B0EE3;153727
The survey data are about to be put on envidat repository and will be made accessible in 2020.;Schmid, Benjamin;doi;2020-01-02T00:00:00Z;https://www.envidat.ch/ui/#/;envidat;Energiegenossenschaften der Schweiz;54327E8D-1F8E-4912-A8C3-F52F7B1A533B;153800
Friday 16th October 2020, 5.30pm (CET time) - Online, Duke NT colloquia. This lecture presents the Swiss National Science Foundation MARK16 project (2018-2023), with its first results and its virtual research environment, https://mark16.sib.swiss. Secondly, it will summarize the main results of a forthcoming ZNT 2021 article about the Latin Codex Bobiensis, or Codex k, or VL 1, or G.VII.15. Of ambiguous reputation, this manuscript ends Mark with a shorter ending slightly different from the Greek one, with a puzzling expression et qui cum puero erant - “and those who were with the boy”. The MARK16 project has chosen to transcribe this expression by et qui cum puero erant, whereas its editing presents et qui cum Petro erant, as the lecture will argue. Last but not least, the enquiry highlights an alternative tradition, present in some versions of the shorter ending: Peter’s companions - and not the women - are reporting briefly instructions before the final apparition of Jesus himself. This finding fosters further the inquiry about Mark endings, by drawing the scholarly attention to VL 1, a manuscript contemporaneous of GA 01 and GA 03.;Clivaz, Claire;https://doi.org/11280/dc8c7c4f;2020-10-21T00:00:00Z;https://nakala.fr/11280/dc8c7c4f;Nakala;"New elements on Mark's shorter ending in Codex Bobbiensis and beyond ";628D6319-4A7A-4427-B608-E4C886D2E590;179755
Code and LinkedPlaces data, for the software MARK16 Dataviz 2022, Version 0.1, created by Elisa Nury (DH+, SIB), in collaboration with Silvano Aldà (Core-IT, SIB) and Claire Clivaz (DH+, SIB), in the SNSF project MARK16: https://dataviz-mark16.sib.swiss. This software is based on Peripleo and has been prepared in collaboration with the Pelagios team, https://pelagios.org/ It is available on GitHub: https://github.com/sib-swiss/dh-dataviz.;"Aldà, Silvano; Clivaz, Claire; Nury, Elisa";https://doi.org/10.34847/nkl.7f4d681q;2022-12-20T00:00:00Z;https://nakala.fr/10.34847/nkl.7f4d681q;Nakala;MARK16 Dataviz: Code, Data and Software;A3503FCF-617A-473D-8BA8-659C3189EA01;179755
"";Bozzini, David;cva.unifr.ch;2020-04-10T00:00:00Z;https://cva.unifr.ch;cva.unifr.ch;CVA;8881AF6D-9E30-485C-99B8-AE76079D96E0;183223
"";Wyss, Corinne;https://doi.org/10.23662/FORS-DS-1282-1;2021-07-12T00:00:00Z;https://www.swissubase.ch/de/catalogue/studies/14081/17101/datasets/1282/2076/overview;FORSbase;"Transkriptionen der Interviews aus dem Projekt ""ALex""";357CB589-0347-416C-92BF-DF92DCA5CA8F;183135
"Two short feature films were recorded with a virtual background by using a green screen in a film studio and previously scanned 3D spaces in a virtual production environment and conventionally (in the corresponding real spaces) to compare the aesthetics and perception of these films. One scene of each film is shown in two variants (real vs. virtual background) to make a comparison.These 2 QuickTime files represents both the ""real"" and ""virtual"" version of the short Film ""Sonnenwende"" (2019) by Timo von Gunten. The real version was shot on location using real backgrounds, the virtual version was shot in the studio in front of a green-screen using virtual backgrounds that were added in post production. Running time: 8min35sec. This is the highest quality version available. Virtually Real is a research project by the Zurich University of the Arts, Institute for the Performing Arts and Film and the University of Bern, Institute of Psychology.";"Gerber, Thomas; Iseli, Christian; Loertscher, Miriam; von Gunten, Timo; Weibel, David";10.5281/zenodo.4432418;2020-11-30T00:00:00Z;https://doi.org/10.5281/zenodo.4432418;Zenodo;"Virtually Real: Short film ""Sonnenwende"" by Timo von Gunten, versions with real and virtual backgrounds, 8min35sec, german, ProRes 3996 × 2160";B8E50716-FF37-4DF0-97B0-AC9B8756DE65;183246
"";Pignard-Cheynel, Nathalie;19137;2021-04-07T00:00:00Z;https://forsbase.unil.ch/datasets/my-dataset-data-file-description-detail/17078/2275/11028/;FORSbase;Base de données d'initiatives des médias locaux français, suisses francophones et belges francophones, envers leurs publics;F2B9A418-ECE3-4A89-A55D-7A531375C66E;183275
"Two short feature films were recorded with a virtual background by using a green screen in a film studio and previously scanned 3D spaces in a virtual production environment and conventionally (in the corresponding real spaces) to compare the aesthetics and perception of these films. One scene of each film is shown in two variants (real vs. virtual background) to make a comparison.These quicktime movie represent the Eye-Tracking Data for Scenes 1,2 and 3 of ""Sonnenwende"" (2019) by Timo von Gunten in beeswarm form for both the real and the virtual version of the film.Virtually Real is a research project by the Zurich University of the Arts, Institute for the Performing Arts and Film and the University of Bern, Institute of Psychology.";"Gerber, Thomas; Iseli, Christian; Loertscher, Miriam; Mahler, Marius; Weibel, David";10.5281/zenodo.4432475;2020-11-30T00:00:00Z;https://doi.org/10.5281/zenodo.4432475;Zenodo;"Virtually Real: Eyetracking data (beeswarm) for the short film ""Sonnenwende"" (2019) by Timo von Gunten";2E3D0194-FB32-4C50-93E1-FFD209516E4D;183246
Das Codebook beschreibt die Daten. Diese werden nicht in Gänze publiziert, wie mit der Ethik-Kommission der ETH Zürich vereinbart. Allerdings wird Zugriff für wissenschaftliche Zwecke wie Replikationen oder empirische Zweitverwertungen ermöglicht.;"Elmer, Timon; Mepham, Kieran; Stadtfeld, Christoph";pre-publication;2021-05-01T00:00:00Z;http://sn.ethz.ch/research/studentlife;Codebook der Swiss StudentLife Studie;Codebook der Swiss StudentLife Studie;5B51D562-0CED-4D7E-A758-510041260A9D;183008
"";"Braunwalder, Rhea; Hämmerle, Veronika; Pauli, Cora";10.5281/zenodo.3753978;2020-04-16T00:00:00Z;https://zenodo.org/record/3753978#.X2hb82gzaUk;Zenodo;Transcriptions of interviews with older adults on the use of WhatsApp;05A8C430-533E-4FDA-9113-5DF99B2C47EC;183117
"";"Baumgartner, Lucien; Dermont, Clau; Gilardi, Fabrizio; Kubli, Maël";10.23662/FORS-DS-1187-1;2020-07-03T00:00:00Z;https://forsbase.unil.ch/datasets/dataset-public-detail/16968/2079/;FORS;" Selects 2019 (Social) Media Analysis";81176EDD-197A-44D4-B36A-5F09D78ED63C;183120
"";Camerini, Anne-Linda;10.17605/OSF.IO/C26HG;2021-12-10T00:00:00Z;https://osf.io/c26hg/;OSF;Exploring the emotional experience during Instant Messaging among young adults: An experimental study incorporating physiological correlates of arousal;C26D6D7A-CBF3-4062-9BBD-C9343D85F733;183199
"";Camerini, Anne-Linda;https://doi.org/10.23662/FORS-DS-1238-1;2021-01-29T00:00:00Z;https://www.swissubase.ch/en/catalogue/studies/13984/16936/datasets/1238/1995/overview;FORSbase;Digital Lives - What does smartphone-mediated communication feel like (Experiment 1);FDA2C759-05FC-4D5E-AF44-72B71B9556DE;183199
"";"Bechtold, Toni Amadeus; Jerjen, Rafael; Kilchenmann, Lorenz";10.5281/zenodo.6935408;2022-07-29T00:00:00Z;https://zenodo.org/record/6935409;LORY;Dataset Pop Canonization & Popularity;90294C1A-B837-411E-ABBD-BBED16F093ED;183061
