GrantNumber;KnowledgeTransferEvent_Date;KnowledgeTransferEvent_Event;KnowledgeTransferEvent_InvolvedPerson;KnowledgeTransferEvent_Place;KnowledgeTransferEvent_TargetGroup;KnowledgeTransferEvent_Type;KnowledgeTransferEvent_Url;KnowledgeTransferEventId
198227;2021-08-24T00:00:00Z;Exursion to Davos station in the framework of the Summer School “FORMON - Long-term Forest Monitoring”;;Davos, Switzerland;Other administration / public sector;Self-organised;;2C022741-677E-469E-87FA-36DA9EAE16ED
198227;2022-08-13T00:00:00Z;Visit of BKW Summer School at Jungfraujoch;Leuenberger, Markus;Jungfraujoch, Switzerland;Industry / private companies;Talk;;44519A1C-777C-4FDC-9ED4-B1F31C1964A9
147718;2014-06-11T00:00:00Z;103RD SESSION OF THE INTERNATIONAL LABOR CONFERENCE;Olarreaga, Marcelo;International Labor Organization, Switzerland;Other administration / public sector;Talk;;E53171BF-E514-46A9-86EF-B122DBC05103
116430;2009-07-03T00:00:00Z;"Integrierte psychiatrische Behandlung: Instrumente und Verfahren für die Soziale Arbeit. Fachtag UPD Waldau ";Sommerfeld, Peter;Schloss Erlach, Switzerland;Other administration / public sector;;;34203C37-2593-4B3A-8D3E-6230F40E631D
145807;2014-01-20T00:00:00Z;Annual European Trade Union Institue Standardisation network meeting;Hauert, Christophe;Bruxelles, Belgium;Other foundations / NGOs;;;949C1AF3-0FB3-4F46-9444-6510A4E6B812
201213;2022-09-17T00:00:00Z;"Participatory workshop for Plastic Manufacturers in Kerala organized with the support of Federation of Indian Chamber of Commerce and Industries (FICCI) on preventing marine litter in ecosystems through implementing EPR & SUP ban ";;Ernakulam, India;Industry / private companies;Self-organised;;84B50E56-6219-406A-9E86-65D75063FAD4
131340;2011-04-14T00:00:00Z;Post-Earthquake Reconstruction: Lessons learnt and Ways Forward, organized by the Gujarat State Disaster Management Authority;Duyne Barenstein, Jennifer E.;Ahmedabad, Switzerland;Other administration / public sector;;http://www.gsdma.org;622DB210-4DE8-4424-AB00-0EA3C50E1DC2
167068;2017-05-15T00:00:00Z;Tracking antibiotic resistance from environmental reservoirs to the food chain;;Bern, Switzerland;Other administration / public sector;Self-organised;;E08ED18D-7B48-4192-9531-33CB0950610F
153769;2018-01-31T00:00:00Z;Assises Européennes de la transition énergétique (part of Inspiration: Energy Living Labs Collaborating with Consumers, Citizens and Cities by Sahakian);"Blumer, Yann Benedict; Kobe, Carmen; Moser, Corinne; Seidl, Roman; Stauffacher, Michael; Tomic, Uros";Geneva, Switzerland;Other administration / public sector;Talk;;EECE0624-31DE-4CC6-90FA-0DD13CAD48D5
153769;2018-05-17T00:00:00Z;Meeting city of Aarau: presentation of project and exchange of ideas for research-city collaboration;;Aarau, Switzerland;Other administration / public sector;Self-organised;;4BB3FE4E-22DE-41D3-980A-B16481CA8825
