GrantNumber;UseInspired_Comment;UseInspired_Inventor;UseInspired_LicenseType;UseInspired_Owner;UseInspired_PatentDecisionDate;UseInspired_PatentNumber;UseInspired_PatentOwnerDescription;UseInspired_PatentStatus;UseInspired_PriorityDate;UseInspired_ReviewerActivityType;UseInspired_Title;UseInspired_Type;UseInspired_Url;UseInspired_Year;UseInspiredId
136630;;;;;;;;;;;Embion Technologies;Start-up;;2016;438FEFF9-C395-4536-B75A-2A6D8F2F4742
136623;;;Software;;;;;;;;Brightway;Licences (software and other);;2014;F2E83688-0264-4C0B-8528-B78AC875FCC5
136709;;"Pielhop, Thomas; Rudolf von Rohr, Philipp";;Research institution;;WO2013068092 A1;ETH Zürich;Pending;2012-11-29T00:00:00Z;;Use of carbonium ion scavengers in the treatment of lignocellulosic biomass;Patent;http://www.google.com/patents/WO2013068092A1?cl=en;2012;541C5675-6189-4094-8CAE-D7298D4D0BE4
136623;;;Software;;;;;;;;LCA Tool for Technology Developers within NRP 66 (Software developed specifically for this project);Licences (software and other);;2012;07912683-CACD-42DE-9B0F-60605FE86135
136558;;;;;;;;;;;‘Natural Living’ will be an apartment module of the modular building ‘NEST’ at Empa. The concept is based on the innovative use of functional wood based materials. For the wooden façades, novel wood coatings functionalized by modified nanofibrillated cellulose could be applied. Real-sized façade elements are assembled and exposed to weather conditions at Empa premises for demonstration purposes and to evaluate and assess the durability and overall performance of the coatings.;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);http://www.empa.ch/nest;;A753EED4-90A6-4B79-B1D9-EC1037C765AA
136709;;"Pielhop, Thomas; Rudolf von Rohr, Philipp";;Research institution;;WO/2015/193243;ETH Zürich;Pending;2014-06-17T00:00:00Z;;Treatment of lignocellulosic biomass with aromatic chemicals as scavengers;Patent;http://www.google.com/patents/WO2015193243A1?cl=fr;2014;A5F3730D-388D-4830-92A3-EA15B2D96FC3
136636;;;;;;;;;;;Swiss Timber Solutions AG;Start-up;http://www.swisstimbersolutions.ch/;2016;EAE2AED0-1672-4788-8F7A-C28483879C21
166537;;;;;;;;;;;"Open Access Corpus Query and Analysis Platform ROGER.

To be cited as:
Chitez, M., Bercuci, L., Dincă, A., Rogobete, R., & Csürös, K. (2021). Corpus of Romanian Academic Genres (ROGER). West University of Timisoara. Available at https://roger-corpus.org/.";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);https://roger-corpus.org/;;7C60AFA8-1D9B-471F-8C4C-E534A4C1A760
166537;;;;;;;;;;;Open Access Comparative Corpus Query and Analysis Platform ComparaQ.;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);https://comparaq.eu/;;7104766C-8B38-44BF-945B-89896B13481E
202692;;;;;;;;;;;"The research will lead to the development of a Small Guide that seeks to give professionals practical guidance in implementing international standards relevant to alternative care, in order to better equip them in their daily work with children and families. Better alignment with these international standards will help ensure that removal and placement decisions are taken in the best interests of the child.   
 
";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);https://www.child-identity.org/index.php/en/research-decision-making-fostering-adoption.html;;7BCFDDCC-CE41-45DC-B2D8-56DDF46B7FB9
177393;;;;;;;;;;;In der Schlussphase des Projektes suchten wir im Rahmen mehrerer Workshops den direkten Austausch mit Fachpersonen aus der Praxis. Dadurch konnten wir in einem partizipativen Prozess zwei Instrumente entwickeln, die auf unseren Forschungsbefunden basieren: einen Leitfaden und eine Broschüre. Der Leitfaden enthält Reflexionsfragen, welche der Vor- und Nachbereitung von Hausbesuchen im Rahmen von Abklärungen im Kindes- und Erwachsenenschutz dienen.;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);https://hausbesuche-kes.ch/resultate/;;F0E51398-0F95-4FCC-B1B2-8A001ED915BB
177430;;;;;;;;;;;"Der PEG (Perceptions of Equilibrium Questionnaire) ist Erhebungsinstrument, um zu erfahren, wie Lernende (mit motorischen Beeinträchtigungen) die Förderung in den drei Spannungsfeldern Medizin/Therapie - Schule; Entwicklungsorientierung - Leistungsorientierung; Lernen in heterogenen Gruppen - homogenen Gruppen erleben";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);https://www.hfh.ch/projekt/zwischen-anerkennung-und-missachtung-erd-zam;;029AA08D-9FFB-47DE-9D22-8786ED910213
