"GrantNumber";"CallDecisionYear";"EffectiveGrantStartDate";"GrantDurationDays";"GrantDurationYears";"EffectiveGrantEndDate";"State";"FundingInstrumentLevel1";"AmountGrantedAllSets";"AmountPerYear";"AmountPerEmployee";"AmountPerEmployeeAndYear";"ResearchInstitution";"InstituteCountry";"MainDiscipline_Level1";"MainDiscipline_Level2";"MainDiscipline";"NrEmployees";"NrEmployeesPerYear";"NrCollaborations";"NrCollaborationsPerYear";"NrAcademicEvents";"NrAcademicEventsPerYear";"DateFirstAcademicEvent";"NrAwards";"NrAwardsPerYear";"YearFirstAward";"NrDatasets";"NrDatasetsPerYear";"DateFirstDataset";"NrKnowledgeTransfer";"NrKnowledgeTransferPerYear";"DateFirstKnowledgeTransfer";"NrCommunication";"NrCommunicationPerYear";"YearFirstCommunication";"NrTotalPublications";"NrTotalPublicationsPerYear";"YearFirstPublication";"NrUses";"NrUsesPerYear";"YearFirstUse";"NrTotalOutputs";"NrTotalOutputsPerYear"
149634;2013;2014-01-01;1095;3;2016-12-31;"Completed";"Projects";749688;249896;149937.6;49979.2;"University of Geneva - GE";"Switzerland";"Biology and Medicine";"Basic Biological Research";"Genetics";5;1.66666666666667;4;1.33333333333333;6;2;2014-03-26;0;0;NA;0;0;NA;0;0;NA;2;0.666666666666667;2014;11;3.66666666666667;2014;0;0;NA;19;6.33333333333333
204665;2021;2022-09-01;180;0.493150684931507;2023-02-28;"Completed";"Science communication";19600;39744.4444444444;0;0;"University of Lausanne - LA";"Switzerland";"Biology and Medicine";"Clinical Medicine";"Geriatrics";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
180190;2017;2019-05-01;1095;3;2022-04-30;"Completed";"Programmes";217140;72380;217140;72380;"University of Zurich - ZH";"Switzerland";"Biology and Medicine";"Basic Biological Research";"Experimental Microbiology";1;0.333333333333333;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
146722;2013;2013-06-01;1705;4.67123287671233;2018-01-31;"Completed";"Projects";262960;56293.4897360704;52592;11258.6979472141;"University of Berne - BE";"Switzerland";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";5;1.07038123167155;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;5;1.07038123167155;2016;0;0;NA;5;1.07038123167155
150754;2013;2013-10-01;181;0.495890410958904;2014-03-31;"Completed";"Careers";77488;156260.331491713;77488;156260.331491713;"University of Geneva - GE";"Switzerland";"Biology and Medicine";"Basic Biological Research";"Biophysics";1;2.01657458563536;3;6.04972375690608;3;6.04972375690608;2014-01-11;0;0;NA;0;0;NA;0;0;NA;1;2.01657458563536;2014;7;14.1160220994475;NA;0;0;NA;11;22.1823204419889
157023;2014;2014-11-01;1460;4;2018-10-31;"Completed";"Projects";707411;176852.75;141482.2;35370.55;"EPF Lausanne - EPFL";"Switzerland";"Biology and Medicine";"Basic Biological Research";"Biochemistry";5;1.25;0;0;1;0.25;2019-02-24;0;0;NA;0;0;NA;0;0;NA;2;0.5;2019;4;1;2016;0;0;NA;7;1.75
150134;2013;2014-01-01;1460;4;2017-12-31;"Completed";"Projects";449000;112250;149666.666666667;37416.6666666667;"EPF Lausanne - EPFL";"Switzerland";"Biology and Medicine";"Basic Medical Sciences";"Physiology : other topics";3;0.75;2;0.5;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0
200201;2020;2021-09-01;211;0.578082191780822;2022-03-31;"Completed";"Careers";81500;140983.412322275;0;0;"Institution abroad - United States of America";"United States of America";"Biology and Medicine";"Clinical Medicine";"Biomedical Engineering";0;0;0;0;1;1.72985781990521;2022-01-12;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;1;1.72985781990521
172242;2016;2017-08-01;548;1.5013698630137;2019-01-31;"Completed";"Careers";74600;49687.9562043796;0;0;"Institution abroad - Denmark";"Denmark";"Biology and Medicine";"Basic Biological Research";"Biophysics";0;0;0;0;1;0.666058394160584;2018-09-16;0;0;NA;0;0;NA;0;0;NA;0;0;NA;1;0.666058394160584;NA;0;0;NA;2;1.33211678832117
156019;2014;2014-10-01;1095;3;2017-09-30;"Completed";"Projects";264666;88222;88222;29407.3333333333;"University of Berne - BE";"Switzerland";"Biology and Medicine";"Clinical Medicine";"Ophthalmology";3;1;4;1.33333333333333;3;1;2015-10-01;2;0.666666666666667;2016;0;0;NA;0;0;NA;0;0;NA;22;7.33333333333333;NA;0;0;NA;27;9
