"GrantNumber";"CallDecisionYear";"EffectiveGrantStartDate";"GrantDurationDays";"GrantDurationYears";"EffectiveGrantEndDate";"State";"FundingInstrumentLevel1";"AmountGrantedAllSets";"AmountPerYear";"AmountPerEmployee";"AmountPerEmployeeAndYear";"ResearchInstitution";"InstituteCountry";"MainDiscipline_Level1";"MainDiscipline_Level2";"MainDiscipline";"NrEmployees";"NrEmployeesPerYear";"NrCollaborations";"NrCollaborationsPerYear";"NrAcademicEvents";"NrAcademicEventsPerYear";"DateFirstAcademicEvent";"NrAwards";"NrAwardsPerYear";"YearFirstAward";"NrDatasets";"NrDatasetsPerYear";"DateFirstDataset";"NrKnowledgeTransfer";"NrKnowledgeTransferPerYear";"DateFirstKnowledgeTransfer";"NrCommunication";"NrCommunicationPerYear";"YearFirstCommunication";"NrTotalPublications";"NrTotalPublicationsPerYear";"YearFirstPublication";"NrUncitablePublications";"NrUncitablePublicationsPerYear";"NrUses";"NrUsesPerYear";"YearFirstUse";"NrTotalOutputs";"NrTotalOutputsPerYear";"NrTotalUncitableOutputs";"NrTotalUncitableOutputsPerYear";"NrCitablePublications";"NrCitablePublicationsPerYear";"NrCitationsTotal";"NrCitationsPerPublication";"YearFirstCitablePublication"
142628;2012;2013-09-01;1490;4.08219178082192;2017-09-30;"Completed";"Careers";578812;141789.516778523;192937.333333333;47263.1722595078;"University of Lausanne - LA";"Switzerland";"Biology and Medicine";"General Biology";"Ecology";3;0.73489932885906;2;0.48993288590604;4;0.97986577181208;2015-03-10;1;0.24496644295302;2013;0;0;NA;0;0;NA;0;0;NA;8;1.95973154362416;2014;1;0.24496644295302;1;0.24496644295302;2015;14;3.42953020134228;7;1.71476510067114;7;1.71476510067114;293;41.8571428571429;2014
142615;2012;2013-04-01;1095;3;2016-03-31;"Completed";"Careers";534863;178287.666666667;267431.5;89143.8333333333;"ETH Zurich - ETHZ";"Switzerland";"Biology and Medicine";"Basic Biological Research";"Cellular Biology, Cytology";2;0.666666666666667;9;3;16;5.33333333333333;2013-05-16;0;0;NA;0;0;NA;0;0;NA;1;0.333333333333333;2013;8;2.66666666666667;NA;2;0.666666666666667;0;0;NA;25;8.33333333333333;19;6.33333333333333;6;2;NA;NA;NA
144100;2012;2013-09-01;1641;4.4958904109589;2018-02-28;"Completed";"Projects";291191;64768.2602071907;72797.75;16192.0650517977;"University of Berne - BE";"Switzerland";"Biology and Medicine";"Preventive Medicine (Epidemiology/Early Diagnosis/Prevention)";"Mental Disorders, Psychosomatic Diseases";4;0.8897014015844;6;1.3345521023766;43;9.5642900670323;2014-03-01;0;0;NA;0;0;NA;0;0;NA;0;0;NA;4;0.8897014015844;NA;1;0.2224253503961;0;0;NA;47;10.4539914686167;44;9.78671541742841;3;0.6672760511883;145;48.3333333333333;2015
147291;2012;2013-02-01;364;0.997260273972603;2014-01-31;"Completed";"Careers";60400;60565.9340659341;0;0;"Institution abroad - United States of America";"United States of America";"Biology and Medicine";"Basic Biological Research";"Biochemistry";0;0;1;1.00274725274725;1;1.00274725274725;2013-05-06;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;0;0;NA;1;1.00274725274725;1;1.00274725274725;0;0;NA;NA;NA
142408;2012;2013-01-01;545;1.49315068493151;2014-06-30;"Completed";"Careers";584267;391298.082568807;584267;391298.082568807;"University of Zurich - ZH";"Switzerland";"Biology and Medicine";"Basic Biological Research";"Experimental Microbiology";1;0.669724770642202;4;2.67889908256881;4;2.67889908256881;2013-05-07;0;0;NA;0;0;NA;0;0;NA;0;0;NA;2;1.3394495412844;2013;1;0.6697247706422;0;0;NA;6;4.01834862385321;5;3.348623853211;1;0.6697247706422;NA;NA;2013
143733;2012;2013-01-01;1276;3.4958904109589;2016-06-30;"Completed";"Projects";5e+05;143025.078369906;125000;35756.2695924765;"University of Geneva - GE";"Switzerland";"Biology and Medicine";"Basic Biological Research";"Biochemistry";4;1.14420062695925;6;1.71630094043887;18;5.14890282131661;2013-05-16;0;0;NA;0;0;NA;0;0;NA;6;1.71630094043887;2013;9;2.57445141065831;NA;1;0.286050156739812;0;0;NA;33;9.43965517241379;25;7.15125391849531;8;2.2884012539185;216;27;NA
145705;2012;2013-02-01;364;0.997260273972603;2014-01-31;"Completed";"Careers";66120;66301.6483516484;0;0;"Institution abroad - United States of America";"United States of America";"Biology and Medicine";"Basic Medical Sciences";"Cardiovascular Research";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;0;0;NA;0;0;0;0;0;0;NA;NA;NA
143359;2012;2013-04-01;1095;3;2016-03-31;"Completed";"Projects";606382;202127.333333333;151595.5;50531.8333333333;"University of Neuchatel - NE";"Switzerland";"Biology and Medicine";"General Biology";"Anthropology, Primatology";4;1.33333333333333;17;5.66666666666667;24;8;2013-06-04;0;0;NA;0;0;NA;6;2;2013-06-01;2;0.666666666666667;2013;79;26.3333333333333;2013;6;2;0;0;NA;111;37;38;12.6666666666667;73;24.3333333333333;2835;38.8356164383562;2013
142763;2012;2012-11-01;180;0.493150684931507;2013-04-30;"Completed";"Careers";33600;68133.3333333333;0;0;"Institution abroad - United States of America";"United States of America";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";0;0;3;6.08333333333333;1;2.02777777777778;2013-06-01;1;2.02777777777778;2012;0;0;NA;0;0;NA;0;0;NA;1;2.02777777777778;2016;0;0;0;0;NA;3;6.08333333333333;2;4.05555555555555;1;2.02777777777778;48;48;2016
144172;2012;2012-10-01;821;2.24931506849315;2014-12-31;"Completed";"Projects";212782;94598.574908648;212782;94598.574908648;"University of Zurich - ZH";"Switzerland";"Biology and Medicine";"Clinical Medicine";"Internal Medicine";1;0.444579780755177;3;1.33373934226553;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;0;0;NA;0;0;0;0;0;0;NA;NA;NA
