"doi";"is.referenced.by.count"
"10.1016/j.sbi.2018.03.017";"30"
"10.3791/58109";"5"
"10.1371/journal.pcbi.1004848";"48"
"10.1007/s00204-017-1994-x";"22"
"10.1016/j.neuron.2014.11.024";"56"
"10.1016/j.celrep.2017.10.004";"30"
"10.1097/qad.0000000000002283";"7"
"10.1111/ajt.2019.19.issue-1";"0"
"10.1186/s12875-021-01488-8";"5"
"10.1016/j.jaci.2012.02.026";"205"
"10.1042/ebc20190076";"10"
"10.1016/j.jaci.2013.01.014";"446"
"10.3389/fphys.2019.00080";"16"
"10.1038/s41559-021-01524-x";"12"
"10.1111/age.12881";"9"
"10.3389/fmicb.2019.01356";"17"
"10.1371/journal.pone.0096727";"52"
"10.1016/j.nicl.2017.02.009";"50"
"10.1002/hbm.25354";"17"
"10.1002/hbm.v39.4";"3"
"10.1016/j.neuroimage.2018.01.047";"11"
"10.1016/j.neuroimage.2019.01.029";"131"
"10.1111/tpj.14932";"22"
"10.1016/j.celrep.2021.108993";"15"
"10.1002/ijc.v145.10";"1"
"10.1038/ncomms7431";"29"
"10.1097/sla.0000000000002904";"3"
"10.1096/fsb2.v32.6";"4"
"10.1016/j.jcmgh.2020.09.012";"10"
"10.1371/journal.pone.0237904";"4"
"10.1111/tmi.12925";"2"
"10.1093/ofid/ofaa308";"4"
"10.1111/jvh.2018.25.issue-2";"0"
"10.1136/bmjopen-2020-042387";"7"
"10.18632/aging.104182";"10"
"10.1136/gutjnl-2018-318146";"110"
"10.3945/ajcn.116.134049";"37"
"10.4414/smw.2021.20475";"19"
"10.1016/s2589-7500(20)30170-9";"6"
"10.1371/journal.pone.0218706";"2"
"10.1017/s0950268821000807";"9"
"10.7717/peerj.10660";"1"
"10.1111/tmi.13233";"8"
"10.1093/ofid/ofy005";"18"
"10.1097/qad.0000000000001546";"15"
"10.1080/2162402x.2017.1331194";"18"
"10.1111/jdv.16215";"12"
"10.1097/cco.0000000000000161";"17"
"10.1016/j.tree.2016.02.016";"679"
"10.1016/j.plefa.2021.102363";"4"
"10.1128/aac.00918-22";"3"
"10.1038/s41467-017-00796-x";"141"
"10.1172/jci90562";"270"
"10.1016/j.anbehav.2019.11.013";"12"
"10.1111/fec.v34.2";"0"
"10.1128/jb.00604-15";"41"
"10.1007/s00115-016-0091-3";"3"
"10.1371/journal.pgen.1003744";"109"
"10.1038/s41577-022-00701-8";"10"
"10.1242/jcs.133629";"13"
"10.1093/eurheartj/ehw578";"3"
"10.1186/s12903-016-0272-2";"18"
"10.1093/eurheartj/eht496";"32"
"10.1093/eurheartj/ehv140";"56"
"10.1111/jth.12111";"63"
"10.1007/978-1-4939-2854-5";"6"
"10.1016/j.cub.2014.07.028";"74"
"10.1016/j.chom.2017.03.009";"84"
"10.1093/nargab/lqaa092";"2"
"10.1093/sysbio/syac050";"0"
"10.15252/msb.202010135";"4"
"10.1038/s42255-020-00323-1";"55"
"10.1098/rsob.200292";"13"
"10.1111/jeb.v33.10";"0"
"10.1101/2021.04.01.438039";"0"
"10.1111/jfb.v95.5";"0"
"10.1016/j.apsb.2022.07.008";"0"
"10.1016/j.phrs.2021.105886";"4"
"10.1021/acs.jmedchem.1c00913";"3"
"10.1016/j.heares.2023.108709";"0"
"10.1007/978-3-030-23132-3_1";"2"
"10.1016/j.heares.2022.108651";"0"
"10.1155/2013/581862";"57"
"10.1007/s00268-019-05064-1";"12"
"10.1186/s12879-022-07621-x";"1"
"10.1001/jamanetworkopen.2021.28898";"4"
"10.1016/j.jclinepi.2021.05.011";"4"
"10.1016/j.jclinepi.2022.05.014";"0"
"10.1002/pro.2117";"31"
"10.1016/j.str.2014.05.002";"17"
"10.1016/j.tim.2013.06.001";"82"
"10.1016/j.chom.2014.10.003";"164"
"10.1186/s12887-015-0455-z";"3"
"10.1016/j.chembiol.2015.03.015";"30"
"10.1016/j.chom.2015.10.008";"108"
"10.1007/s40265-014-0248-y";"58"
"10.1016/j.neuron.2015.06.032";"52"
"10.1016/j.neurobiolaging.2021.02.002";"10"
"10.1016/j.neurobiolaging.2020.01.006";"34"
"10.1038/s41398-021-01213-0";"20"
"10.1038/bmt.2015.356";"4"
"10.1038/s41467-019-13591-7";"25"
"10.1016/s0140-6736(18)30463-x";"2"
"10.1186/s12859-019-2782-9";"22"
"10.7554/elife.45983";"19"
"10.3389/fimmu.2017.01037";"29"
"10.3389/fimmu.2019.02713";"14"
"10.15252/embr.201846065";"52"
"10.1007/s12035-017-0618-z";"35"
"10.1186/s12885-018-5262-0";"14"
"10.1038/s41587-020-0605-1";"59"
"10.1152/ajpgi.00408.2014";"28"
"10.1037/ccp0000654";"25"
"10.1371/journal.pone.0246631";"13"
"10.1136/bmjopen-2018-026820";"9"
"10.1016/j.jad.2020.05.141";"5"
"10.1136/ebmental-2022-300457";"4"
"10.1016/j.annonc.2019.11.004";"54"
"10.1111/iju.14887";"0"
"10.1093/aje/kwab278";"11"
"10.1016/s0140-6736(19)30474-x";"139"
"10.1016/j.nlm.2013.10.015";"18"
"10.1093/brain/awu078";"83"
"10.4161/cam.27164";"3"
"10.1002/mrm.25763";"2"
"10.1007/s00125-015-3854-7";"47"
"10.1016/j.ijpharm.2020.119636";"14"
"10.1101/2021.04.12.438219";"1"
"10.1016/j.cub.2022.03.018";"4"
