"GrantNumber","CallDecisionYear","GrantDurationYears","FundingInstrumentLevel1","AmountGrantedAllSets","AmountPerYear","InstituteCountry","MainDiscipline_Level2","NrTotalUncitableOutputs","NrTotalUncitableOutputsPerYear","NrCitablePublications","NrCitablePublicationsPerYear","NrCitationsTotal","NrCitationsPerPublication"
144100,2012,4.4958904109589,"Projects",291191,64768.2602071907,"Switzerland","Preventive Medicine",44,9.78671541742841,3,0.6672760511883,145,48.3333333333333
139309,2012,4.92328767123288,"Programmes",640027,129999.919309961,"Switzerland","Social Medicine",13,2.64051196438508,7,1.42181413466889,89,12.7142857142857
145985,2012,0.997260273972603,"Careers",42800,42917.5824175824,"Germany","Basic Medical Sciences",3,3.00824175824176,1,1.00274725274725,146,146
144072,2012,2.9972602739726,"Projects",570301,190274.099634369,"Switzerland","Experimental Medicine",1,0.33363802559415,6,2.0018281535649,940,156.666666666667
142585,2012,2.9972602739726,"Careers",593352,197964.78976234,"Switzerland","Clinical Medicine",1,0.33363802559415,10,3.3363802559415,242,24.2
145760,2012,1.9972602739726,"Careers",1e+05,50068.5871056241,NA,"Basic Medical Sciences",14,7.00960219478739,4,2.00274348422497,214,53.5
143683,2012,1.5013698630137,"Careers",91068,60656.6058394161,"United States of America","Basic Medical Sciences",0,0,1,0.666058394160583,88,88
145838,2012,1.4986301369863,"Careers",67750,45207.9524680073,"Canada","Clinical Medicine",10,6.672760511883,1,0.6672760511883,40,40
145489,2012,2.16438356164384,"Careers",179950,83141.4556962025,"Switzerland","Preventive Medicine",2,0.924050632911391,4,1.84810126582278,176,44
141625,2012,3.66849315068493,"Projects",497129,135513.132935026,"Switzerland","Basic Medical Sciences",0,0,2,0.545182972367439,306,153
142724,2012,1.9972602739726,"Careers",101845,50992.3525377229,NA,"Basic Medical Sciences",6,3.00411522633745,2,1.00137174211248,220,110
142753,2012,1.9972602739726,"Careers",98000,49067.2153635117,NA,"Experimental Medicine",4,2.00274348422497,2,1.00137174211248,138,69
143929,2012,4.32876712328767,"Projects",430000,99335.4430379747,"Switzerland","Basic Medical Sciences",25,5.7753164556962,21,4.85126582278481,839,39.9523809523809
141053,2012,3.41643835616438,"Projects",442000,129374.498797113,"Switzerland","Basic Medical Sciences",42,12.2935044105854,17,4.97594226142743,776,45.6470588235294
139155,2012,4.16712328767123,"Careers",1357219,325696.867192636,"Switzerland","Clinical Medicine",19,4.5595003287311,2,0.479947403024326,14,7
141167,2012,2.49315068493151,"Projects",250000,100274.725274725,"Switzerland","Social Medicine",5,2.0054945054945,2,0.802197802197801,36,18
144077,2012,2.9972602739726,"Projects",124887,41667.0521023766,"Switzerland","Basic Medical Sciences",3,1.00091407678245,5,1.66819012797075,130,26
143355,2012,2.9972602739726,"Projects",445000,148468.921389397,"Switzerland","Basic Medical Sciences",2,0.6672760511883,4,1.3345521023766,50,12.5
140963,2012,2.9972602739726,"Projects",495000,165150.822669104,"Switzerland","Experimental Medicine",22,7.3400365630713,4,1.3345521023766,241,60.25
141244,2012,3.5013698630137,"Projects",462000,131948.356807512,"Switzerland","Basic Medical Sciences",21,5.99765258215962,7,1.99921752738654,206,29.4285714285714
144284,2012,2.9972602739726,"Projects",405000,135123.400365631,"Switzerland","Experimental Medicine",7,2.33546617915905,4,1.3345521023766,252,63
143736,2012,1.75068493150685,"Projects",184000,105101.72143975,"Switzerland","Clinical Medicine",6,3.42723004694836,2,1.14241001564945,29,14.5
143443,2012,3.74794520547945,"Projects",242600,64728.8011695906,"Switzerland","Basic Medical Sciences",21,5.6030701754386,10,2.66812865497076,287,28.7
140722,2012,2.9972602739726,"Projects",237840,79352.4680073126,"Switzerland","Clinical Medicine",10,3.3363802559415,2,0.6672760511883,107,53.5
145256,2012,2.9972602739726,"Careers",180000,60054.844606947,NA,"Basic Medical Sciences",0,0,1,0.33363802559415,5,5
143923,2012,3.67123287671233,"Projects",474301,129193.929104478,"Switzerland","Clinical Medicine",20,5.44776119402985,20,5.44776119402985,441,22.05
139304,2012,4.74794520547945,"Programmes",233271,49130.9376803231,"Switzerland","Clinical Medicine",18,3.79111367570687,1,0.210617426428159,7,7
140947,2012,2.4958904109589,"Projects",191812,76851.1306256861,"Switzerland","Clinical Medicine",15,6.00987925356752,6,2.40395170142701,139,23.1666666666667
144208,2012,2.9972602739726,"Projects",331800,110701.096892139,"Switzerland","Basic Medical Sciences",6,2.0018281535649,4,1.3345521023766,70,17.5
144209,2012,5,"Projects",346000,69200,"Switzerland","Clinical Medicine",1,0.2,6,1.2,73,12.1666666666667
141179,2012,4.16712328767123,"Projects",375000,89990.1380670611,"Switzerland","Clinical Medicine",10,2.39973701512163,22,5.27942143326759,2132,96.9090909090909
145697,2012,0.408219178082192,"Careers",41691,102128.959731544,"Switzerland","Clinical Medicine",4,9.7986577181208,1,2.4496644295302,6,6
140945,2012,2.9972602739726,"Projects",610331,203629.629798903,"Switzerland","Basic Medical Sciences",22,7.3400365630713,5,1.66819012797075,109,21.8
139294,2012,4.83287671232877,"Programmes",478633,99036.8735827664,"Switzerland","Social Medicine",53,10.9665532879819,5,1.03458049886621,121,24.2
143764,2012,3,"Projects",160000,53333.3333333333,"Switzerland","Clinical Medicine",5,1.66666666666667,8,2.66666666666667,235,29.375
146957,2012,0.997260273972603,"Careers",46300,46427.1978021978,"United States of America","Clinical Medicine",2,2.00549450549451,2,2.00549450549451,296,148
143372,2012,3.41917808219178,"Projects",555051,162334.627403846,"Switzerland","Experimental Medicine",10,2.92467948717949,2,0.584935897435898,514,257
144167,2012,1.9972602739726,"Projects",176667,88454.670781893,NA,"Basic Medical Sciences",1,0.500685871056242,6,3.00411522633745,112,18.6666666666667
144016,2012,3,"Projects",330561,110187,"Switzerland","Basic Medical Sciences",16,5.33333333333333,7,2.33333333333333,318,45.4285714285714
141065,2012,3.4986301369863,"Projects",495000,141483.946750196,"Switzerland","Basic Medical Sciences",2,0.571652310101801,4,1.1433046202036,271,67.75
140791,2012,2.9972602739726,"Projects",402000,134122.486288848,"Switzerland","Clinical Medicine",13,4.33729433272395,7,2.33546617915905,335,47.8571428571429
141234,2012,2.9972602739726,"Projects",448118,149509.204753199,"Switzerland","Clinical Medicine",14,4.6709323583181,2,0.6672760511883,21,10.5
145504,2012,2.33150684931507,"Careers",191436,82108.2726204465,"Switzerland","Experimental Medicine",1,0.428907168037603,2,0.857814336075205,62,31
143667,2012,2.32876712328767,"Projects",252368,108369.788235294,"Switzerland","Clinical Medicine",6,2.5764705882353,3,1.28823529411765,56,18.6666666666667
144277,2012,2.9972602739726,"Projects",354843,118389.117915905,"Switzerland","Clinical Medicine",10,3.3363802559415,7,2.33546617915905,344,49.1428571428571
141238,2012,2.9972602739726,"Projects",442000,147468.007312614,"Switzerland","Basic Medical Sciences",9,3.00274223034735,15,5.00457038391225,782,52.1333333333333
143956,2012,2.9972602739726,"Projects",445000,148468.921389397,"Switzerland","Basic Medical Sciences",19,6.33912248628885,5,1.66819012797075,48,9.6
144177,2012,2.9972602739726,"Projects",303000,101092.321755027,"Switzerland","Experimental Medicine",3,1.00091407678245,2,0.6672760511883,63,31.5
142149,2012,0.997260273972603,"Careers",45340,45464.5604395604,NA,"Clinical Medicine",1,1.00274725274725,1,1.00274725274725,11,11
139094,2012,4,"Careers",1474318,368579.5,NA,"Experimental Medicine",36,9,9,2.25,904,100.444444444444
143718,2012,3.24657534246575,"Projects",439975,135519.725738397,"Switzerland","Experimental Medicine",15,4.62025316455697,11,3.38818565400844,454,41.2727272727273
143838,2012,2.9972602739726,"Projects",768858,256520.265082267,"Switzerland","Basic Medical Sciences",17,5.67184643510055,11,3.67001828153565,1518,138
146959,2012,0.997260273972603,"Careers",46300,46427.1978021978,"United States of America","Experimental Medicine",3,3.00824175824176,4,4.01098901098901,436,109
143674,2012,0.997260273972603,"Careers",36300,36399.7252747253,"United States of America","Clinical Medicine",5,5.01373626373626,1,1.00274725274725,8,8
144282,2012,4,"Projects",411600,102900,"Switzerland","Basic Medical Sciences",7,1.75,8,2,530,66.25
140754,2012,3.4986301369863,"Projects",302178,86370.375880971,"Switzerland","Basic Medical Sciences",7,2.0007830853563,2,0.571652310101801,16,8
141174,2012,2.9972602739726,"Projects",391672,130676.672760512,"Switzerland","Basic Medical Sciences",9,3.00274223034735,8,2.6691042047532,308,38.5
141548,2012,0.498630136986301,"Careers",56645,113601.236263736,"Switzerland","Experimental Medicine",4,8.02197802197803,1,2.00549450549451,86,86
141671,2012,0.498630136986301,"Careers",63756,127862.307692308,"Switzerland","Preventive Medicine",7,14.0384615384615,1,2.00549450549451,23,23
145290,2012,0.501369863013699,"Science communication",5300,10571.0382513661,"Switzerland","Clinical Medicine",2,3.98907103825136,1,1.99453551912568,55,55
144080,2012,4,"Projects",1022829,255707.25,"Switzerland","Basic Medical Sciences",0,0,8,2,857,107.125
141206,2012,2.9972602739726,"Projects",319886,106726.13345521,"Switzerland","Clinical Medicine",4,1.3345521023766,4,1.3345521023766,51,12.75
142216,2012,2.9972602739726,"Programmes",360939,120422.975319927,"Switzerland","Experimental Medicine",16,5.3382084095064,1,0.33363802559415,12,12
141965,2012,3.83835616438356,"Programmes",1800000,468950.749464668,"Switzerland","Basic Medical Sciences",128,33.3476088508209,27,7.03426124197002,2272,84.1481481481482
143671,2012,0.997260273972603,"Careers",46600,46728.021978022,"Great Britain and Northern Ireland","Clinical Medicine",2,2.00549450549451,8,8.02197802197802,461,57.625
141918,2012,4,"Programmes",1400000,350000,"Switzerland","Experimental Medicine",26,6.5,16,4,1079,67.4375
141152,2012,3.33150684931507,"Projects",212472,63776.5460526316,"Switzerland","Clinical Medicine",8,2.40131578947368,4,1.20065789473684,54,13.5
143739,2012,3.4958904109589,"Projects",390000,111559.561128527,"Switzerland","Experimental Medicine",9,2.57445141065831,6,1.71630094043887,120,20
142745,2012,1.57808219178082,"Careers",68400,43343.75,NA,"Experimental Medicine",2,1.26736111111111,1,0.633680555555556,292,292
140960,2012,3.33424657534247,"Projects",325234,97543.4757600657,"Switzerland","Preventive Medicine",62,18.594905505341,13,3.89893179950698,331,25.4615384615385
140999,2012,5,"Projects",627000,125400,"Switzerland","Basic Medical Sciences",50,10,15,3,2356,157.066666666667
142734,2012,0.997260273972603,"Careers",83400,83629.1208791209,NA,"Clinical Medicine",37,37.1016483516483,3,3.00824175824176,55,18.3333333333333
143745,2012,3.41369863013699,"Projects",331800,97196.6292134831,"Switzerland","Basic Medical Sciences",7,2.05056179775281,1,0.292937399678972,177,177
141013,2012,2.9972602739726,"Projects",564000,188171.846435101,"Switzerland","Basic Medical Sciences",0,0,13,4.33729433272395,404,31.0769230769231
142741,2012,1.9972602739726,"Careers",97000,48566.5294924554,NA,"Basic Medical Sciences",12,6.00823045267491,16,8.01097393689987,205,12.8125
143780,2012,3.41917808219178,"Projects",281312,82274.7435897436,"Switzerland","Clinical Medicine",4,1.1698717948718,19,5.55689102564103,1496,78.7368421052632
139248,2012,4.4958904109589,"Programmes",538347,119742.020109689,"Switzerland","Clinical Medicine",14,3.1139549055454,1,0.2224253503961,28,28
140964,2012,2.9972602739726,"Projects",358000,119442.413162706,"Switzerland","Experimental Medicine",1,0.33363802559415,3,1.00091407678245,28,9.33333333333333
